id,customer_id,type,creation_date,price,renewable
1,67,SIM,2023-01-11,1000,True
2,70,SIM,2023-01-22,1000,True
3,62,SIM,2023-01-29,1000,True
4,80,PASS,2023-01-23,100,True
5,39,PASS,2023-03-30,100,True
6,53,SIM,2023-03-27,1000,True
7,94,SUPERVISION,2023-03-21,5000,True
8,19,SIM,2023-03-09,1000,True
9,60,PASS,2023-03-28,100,True
10,86,SIM,2023-03-21,1000,True
11,36,SUPERVISION,2023-10-23,5000,True
12,90,PASS,2023-08-06,100,True
13,69,SUPERVISION,2023-11-22,5000,True
14,37,SIM,2023-08-17,1000,True
15,84,SIM,2023-04-27,1000,True
16,63,SIM,2023-02-08,1000,True
17,8,SIM,2023-12-26,1000,True
18,32,PASS,2023-09-24,100,True
19,71,PASS,2023-07-23,100,True
20,65,SIM,2023-05-17,1000,True
21,29,SIM,2023-03-20,1000,True
22,12,PASS,2024-02-04,100,True
23,28,PASS,2024-01-17,100,True
24,22,SUPERVISION,2024-01-11,5000,True
25,44,PASS,2024-03-06,100,True
26,5,PASS,2024-02-05,100,True
27,21,SIM,2024-01-30,1000,True
28,15,SIM,2024-01-31,1000,True
29,33,SUPERVISION,2024-03-04,5000,True
30,9,PASS,2024-01-28,100,True
31,50,PASS,2024-02-27,100,True
32,74,SUPERVISION,2024-03-06,5000,True
33,66,PASS,2024-02-25,100,True
34,30,SUPERVISION,2024-10-21,5000,True
35,97,SIM,2024-08-19,1000,True
36,88,PASS,2024-05-16,100,True
37,13,PASS,2024-05-01,100,True
38,98,PASS,2024-02-22,100,True
39,87,PASS,2024-09-11,100,True
40,83,PASS,2024-07-22,100,True
41,23,PASS,2024-02-27,100,True
42,59,SUPERVISION,2024-07-24,5000,True
43,78,SIM,2024-02-19,1000,True
44,49,SUPERVISION,2025-03-02,5000,True
45,68,PASS,2025-01-29,100,True
46,48,PASS,2025-02-06,100,True
47,40,PASS,2025-02-05,100,True
48,52,SIM,2025-03-03,1000,True
49,72,PASS,2025-02-03,100,True
50,25,SIM,2025-01-05,1000,True
51,41,SIM,2025-02-26,1000,True
52,4,SUPERVISION,2025-01-02,5000,True
53,3,PASS,2025-02-05,100,True
54,17,PASS,2025-02-09,100,True
55,95,SUPERVISION,2025-01-21,5000,True
56,58,SUPERVISION,2025-01-07,5000,True
57,47,PASS,2025-02-09,100,True
58,2,PASS,2025-03-26,100,True
59,73,SIM,2025-03-02,1000,True
60,77,PASS,2025-12-30,100,True
61,42,PASS,2025-10-21,100,True
62,34,PASS,2025-09-03,100,True
63,10,PASS,2025-02-16,100,True
64,54,SIM,2025-03-10,1000,True
65,91,PASS,2025-05-28,100,True
66,57,SIM,2025-04-28,1000,True
67,79,PASS,2025-12-10,100,True
68,38,SUPERVISION,2025-07-13,5000,True
69,31,PASS,2025-03-26,100,True
70,92,PASS,2025-09-08,100,True
71,61,SUPERVISION,2025-05-29,5000,True
72,56,PASS,2025-10-07,100,True
73,11,PASS,2025-10-21,100,True
74,24,SUPERVISION,2025-12-31,5000,True
75,75,SIM,2025-01-06,1000,True
76,82,SUPERVISION,2025-06-29,5000,True
77,51,SUPERVISION,2026-02-04,5000,True
78,76,SIM,2026-03-08,1000,True
79,55,PASS,2026-02-12,100,True
80,100,PASS,2026-03-29,100,True
81,14,PASS,2026-03-09,100,True
82,45,SUPERVISION,2026-03-31,5000,True
83,26,SUPERVISION,2026-01-29,5000,True
84,93,SIM,2026-01-08,1000,True
85,43,PASS,2026-01-28,100,True
86,89,SIM,2026-03-26,1000,True
87,81,PASS,2026-01-13,100,True
88,18,SIM,2026-01-13,1000,True
89,85,PASS,2026-03-31,100,True
90,99,SUPERVISION,2026-03-22,5000,True
91,7,PASS,2026-01-21,100,True
92,16,SUPERVISION,2026-03-26,5000,True
93,27,SIM,2026-01-13,1000,True
94,35,SIM,2026-03-01,1000,True
95,6,SUPERVISION,2026-02-17,5000,True
96,20,SIM,2026-04-08,1000,True
97,96,PASS,2026-03-31,100,True
98,1,PASS,2026-01-26,100,True
99,64,SIM,2026-01-04,1000,True
100,46,PASS,2026-01-04,100,True
