id,license_id,date,price,type,renewable
0,1,2023-01-11,1000,SIM,True
1,1,2023-01-11,5000,SUPERVISION,True
2,1,2023-01-11,5000,SUPERVISION,True
3,1,2023-01-11,1000,SIM,True
4,1,2023-01-11,1000,SIM,True
5,1,2023-01-11,1000,SIM,True
6,1,2023-01-11,5000,SUPERVISION,True
7,1,2023-01-11,100,PASS,True
8,1,2023-01-12,5000,SUPERVISION,True
9,1,2023-01-12,5000,SUPERVISION,True
10,1,2023-01-12,100,PASS,True
11,1,2023-01-12,100,PASS,True
12,1,2023-01-12,5000,SUPERVISION,True
13,1,2023-01-13,5000,SUPERVISION,True
14,1,2023-01-13,5000,SUPERVISION,True
15,1,2023-01-13,5000,SUPERVISION,True
16,1,2023-01-13,1000,SIM,True
17,1,2023-01-13,1000,SIM,True
18,1,2023-01-13,100,PASS,True
19,1,2023-01-13,100,PASS,True
20,1,2023-01-13,100,PASS,False
21,1,2023-01-13,100,PASS,False
22,1,2023-01-14,1000,SIM,False
23,1,2023-01-14,1000,SIM,False
24,1,2023-01-14,5000,SUPERVISION,False
25,1,2023-01-14,1000,SIM,False
26,1,2023-01-14,5000,SUPERVISION,False
27,1,2023-01-14,5000,SUPERVISION,False
28,1,2023-01-14,5000,SUPERVISION,True
29,1,2023-01-15,5000,SUPERVISION,True
30,1,2023-01-15,100,PASS,True
31,1,2023-01-16,5000,SUPERVISION,True
32,1,2023-01-16,5000,SUPERVISION,True
33,1,2023-01-16,1000,SIM,True
34,1,2023-01-16,1000,SIM,True
35,1,2023-01-17,1000,SIM,False
36,1,2023-01-17,1000,SIM,False
37,1,2023-01-17,100,PASS,False
38,1,2023-01-17,5000,SUPERVISION,False
39,1,2023-01-17,5000,SUPERVISION,True
40,1,2023-01-17,5000,SUPERVISION,True
41,1,2023-01-17,100,PASS,True
42,1,2023-01-17,100,PASS,True
43,1,2023-01-18,5000,SUPERVISION,True
44,1,2023-01-18,5000,SUPERVISION,True
45,1,2023-01-18,1000,SIM,True
